Ticker,Event_ID,Ticker_BB,Company_Name,Fiscal_Year,Fiscal_Quarter,Fiscal_Quarter_BB,Mgmt_Guidance_Date,Earnings_Announcement_Date,Announcement_Time,Mgmt_Guidance_EPS,Mgmt_Guidance_Type,Guidance_Range_Low,Guidance_Range_High,Analyst_Consensus_EPS,Num_Analysts,Disagreement_Gap,Disagreement_Pct,Actual_EPS,Surprise_EPS,Surprise_Pct,EPS_Beat_Miss,CAR_0_1,CAR_2_60,BHAR_2_60,Market_Cap,Sector,Std_Actual_EPS,Std_Guidance_EPS,Std_Consensus_EPS,Std_Disagreement_Gap,Std_Disagreement_Pct,Std_Surprise_EPS,Std_Surprise_Pct
CTSH US,CTSH US|45504,CTSH US Equity,Cognizant Technology Solutions,2024,Q2 24 ,2024Q2,,2024-07-31,22:01,1.14,,,,1.117,,0.02299999999999991,0.020590868397493203,1.17,0.052999999999999936,0.04744852282900621,Beat,0.004260999999999999,-0.06335800000000003,-0.06691277522795525,37697.6182,Information Technology,0.015431284621471907,0.015035610656818781,0.014732260617251386,0.00030335003956739534,0.020590868397493207,0.000699024004220521,0.047448522829006176
WEC US,WEC US|45504,WEC US Equity,WEC Energy Group Inc,2024,Q2 24 ,2024Q2,,2024-07-31,13:00,0.67,,,,0.635,,0.03500000000000003,0.05511811023622052,0.67,0.03500000000000003,0.05511811023622052,Beat,0.034065,0.058213,0.06456250153644039,27034.4134,Utilities,0.007827102803738318,0.007827102803738318,0.007418224299065421,0.0004088785046728969,0.05511811023622043,0.0004088785046728969,0.05511811023622043
LYV US,LYV US|45503,LYV US Equity,Live Nation Entertainment Inc,2024,Q2 24 ,2024Q2,,2024-07-30,22:07,1.05,,,,1.061,,-0.010999999999999899,-0.010367577756833082,1.03,-0.030999999999999917,-0.029217719132893418,Miss,-0.0032239999999999994,0.126073,0.13971411482810803,22095.822,Communication Services,0.010788729443804337,0.010998219335917042,0.01111343877657903,-0.00011521944066198754,-0.01036757775683313,-0.00032470933277469263,-0.029217719132893408
PYPL US,PYPL US|45503,PYPL US Equity,PayPal Holdings Inc,2024,Q2 24 ,2024Q2,,2024-07-30,13:00,1.08,,,,1.004,,0.07600000000000007,0.07569721115537856,1.19,0.18599999999999994,0.18525896414342624,Beat,0.10274900000000001,0.15514099999999995,0.16710049545899386,61653.9537,Financials,0.020190023752969122,0.01832371903630811,0.017034272141160503,0.0012894468951476085,0.07569721115537853,0.0031557516118086194,0.18525896414342632
DLR US,DLR US|45498,DLR US Equity,Digital Realty Trust Inc,2024,Q2 24 ,2024Q2,,2024-07-25,22:05,0.22,,,,1.63,,-1.41,-0.8650306748466258,1.65,0.020000000000000018,0.012269938650306761,Beat,-0.045984,0.05602900000000001,0.05907248079688032,50213.0509,Real Estate,0.010879599103257285,0.0014506132137676383,0.010747725174732955,-0.009297111960965316,-0.8650306748466257,0.0001318739285243297,0.012269938650306652
TSCO US,TSCO US|45498,TSCO US Equity,Tractor Supply Co,2024,Q2 24 ,2024Q2,,2024-07-25,12:55,0.79,,,,0.784,,0.006000000000000005,0.007653061224489803,0.79,0.006000000000000005,0.007653061224489803,Beat,-0.005644,0.06365999999999998,0.06753864219671102,28302.3849,Consumer Discretionary,0.015046472649702882,0.015046472649702882,0.014932195642236783,0.00011427700746609835,0.007653061224489831,0.00011427700746609835,0.007653061224489831
ROP US,ROP US|45497,ROP US Equity,Roper Technologies Inc,2024,Q2 24 ,2024Q2,,2024-07-24,12:55,3.15,,,,4.465,,-1.315,-0.2945128779395297,4.48,0.015000000000000568,0.003359462486002367,Beat,-0.028622000000000005,-0.044059000000000015,-0.04721610366498674,61472.4634,Information Technology,0.0078012084907796,0.005485224720079405,0.007775088373064934,-0.002289863652985529,-0.2945128779395296,2.612011771466541e-05,0.0033594624860024424
PCAR US,PCAR US|45496,PCAR US Equity,PACCAR Inc,2024,Q2 24 ,2024Q2,,2024-07-23,14:00,2.14,,,,2.133,,0.007000000000000117,0.0032817627754337165,2.13,-0.0030000000000001137,-0.001406469760900194,Miss,-0.066433,0.006710000000000009,0.0043817337459264305,57163.3023,Industrials,0.019530533651201172,0.019622226297450945,0.019558041445076106,6.418485237483923e-05,0.0032817627754336454,-2.7507793874934072e-05,-0.001406469760900286
KMI US,KMI US|45490,KMI US Equity,Kinder Morgan Inc,2024,Q2 24 ,2024Q2,,2024-07-17,22:05,0.26,,,,0.255,,0.0050000000000000044,0.01960784313725492,0.25,-0.0050000000000000044,-0.01960784313725492,Miss,0.061386,0.07724899999999998,0.08277387358967037,44920.342,Energy,0.012351778656126484,0.012845849802371544,0.012598814229249014,0.00024703557312252995,0.019607843137254923,-0.00024703557312252995,-0.019607843137254923
STT US,STT US|45489,STT US Equity,State Street Corp,2024,Q2 24 ,2024Q2,,2024-07-16,13:41,2.18,,,,2.029,,0.15100000000000025,0.07442089699359303,2.15,0.121,0.05963528831936915,Beat,0.08814599999999999,0.016256999999999987,0.014668148225049915,23781.3754,Financials,0.027235875348365846,0.027615910818343047,0.025703065619457816,0.001912845198885231,0.07442089699359297,0.0015328097289080307,0.05963528831936912
BK US,BK US|45485,BK US Equity,Bank of New York Mellon Corp/T,2024,Q2 24 ,2024Q2,,2024-07-12,12:31,1.53,,,,1.429,,0.10099999999999998,0.07067879636109166,1.51,0.08099999999999996,0.05668299510146953,Beat,0.059704999999999994,0.07499199999999999,0.0791615996542605,45968.2394,Financials,0.024564828371563364,0.024890190336749635,0.023247112412558973,0.0016430779241906612,0.07067879636109163,0.0013177159590043903,0.056682995101469465
